"ID","Tank","Subject","Type","Sex","Object_placement","Distance_moved","Velocity","In_zone2_Freq","In_zone_2_cumulative","Zone_2_latency_to_first","In_zone1_Freq","In_zone_1_cumulative","Zone_1_latency_to_first","In_zoneN_Freq","In_zone_N_cumulative","Zone_N_latency_to_first","Moving_","Not_Moving_","Object_1_zone_Freq...19","Object_1_zone_Freq...20","Object_1_zone_latency","Object_2_zone_Freq...22","Object_2_zone_Freq...23","Object_2_zone_latency","Zone_2_Neutral_Zone_Zone_1","Turn_angle","Angular_velocity"
1,"E1",1,"Habitation","M",NA,1854.37,6.18057,34,87.1869,"0.73406499999999997",41,87.9544,"0",74,123.39,"0.50049900000000003",286.552,13.4801,13,9.44275,"0.80079800000000001",13,5.77243,"0.266932",14,2.3125,69.3059
2,"E1",1,"FO21","M",NA,1615.52,5.385,34,100.872,"10.724399999999999",29,52.1944,"16.365200000000002",63,144.884,"0",288.932,11.0726,5,3.27303,"92.898399999999995",3,0.905307,"34.227600000000002",10,1.72444,49.525
3,"E1",1,"Preference NO21a vs FO21","M","Right",1659.9,4.59156,31,94.9694,"15.7281",29,79.9426,"1.06857",60,183.327,"9.7841199999999997",339.005,22.5068,10,2.67143,"17.3977",14,10.2182,"1.4358900000000001",9,1.14802,34.3792
4,"E1",1,"Preference NO21b vs FO21","M","Left",1639.4,4.50682,32,142.02,"28.0303",16,22.5243,"37.874299999999998",48,197.48,"0",339.967,23.7924,13,7.40801,"109.352",0,0,"-",4,1.54862,46.4083
5,"E1",2,"Habitation","M",NA,1924.23,6.41345,41,97.686,"1.2677799999999999",45,78.8694,"0.46707700000000002",86,121.64,"0",296.928,3.10273,31,29.2924,"1.3345100000000001",35,25.1221,"3.2695400000000001",29,-0.03574,-1.07124
6,"E1",2,"FO21","M",NA,2316.21,6.4323,29,36.6596,"0",56,146.205,"0.900644",87,175.692,"0.56707200000000002",353.72,6.37123,12,7.20516,"3.3356999999999998E-2",31,17.4792,"1.2675700000000001",15,-0.53453,-16.0244
7,"E1",2,"Preference NO21a vs FO21","M","Left",2061.48,5.71429,33,78.891,"4.3791200000000003",39,121.913,"1.0362800000000001",74,158.283,"0",357.182,3.57684,17,9.35995,"43.156100000000002",23,12.7362,"1.1365700000000001",16,-0.56657,-16.9489
8,"E1",2,"Preference NO21b vs FO21","M","Right",1867,5.18484,13,44.2641,"75.175600000000003",46,142.406,"0",60,172.517,"0.26705299999999998",348.939,11.1495,11,7.61103,"107.923",45,22.0653,"0",7,-0.41336,-12.3828
9,"E1",3,"Habitation","F",NA,1126.11,3.75329,21,93.7391,"71.722099999999998",21,49.0045,"0.80061800000000005",42,156.488,"0",229.077,70.9548,27,34.1931,"80.528899999999993",21,15.0116,"0.867336",13,0.455275,13.6477
10,"E1",3,"FO21","F",NA,1188.81,3.30147,18,53.1581,"103.779",21,181.178,"0",39,124.614,"93.694599999999994",261.55,98.5363,10,9.88368,"105.44799999999999",21,25.7109,"0",8,-0.11364,-3.40346
