"ID","Test","NO","FO_placement","NO_placement","Distance_moved","Velocity","In_zone1_Freq","In_zone_1_cumulative","Zone_1_latency_to_first","In_zone2_Freq","In_zone_2_cumulative","Zone_2_latency_to_first","In_zoneN_Freq","In_zone_N_cumulative","Zone_N_latency_to_first","Moving","Not_Moving","Object_1_zone_Freq","Object_1_zone_Cumulative","Object_1_zone_latency","Object_2_zone_Freq","Object_2_zone_Cumulative","Object_2_zone_latency","Zone_1_Neutral_Zone_Zone_2","Turn_angle","Angular_velocity"
1,"Trial__7","B","Right","Left",641.156,1.78127,7,59.9907,4.20168,8,6.90277,1.30052,11,24.91,0,54.3885,305.689,9,303.922,0,2,1.60064,"351.64100000000002",2,-0.354769,-10.6388
2,"Trial__8","B","Left","Right",1554.05,4.31587,29,205.316,3.03456,17,30.3122,1.66734,20,5.50222,0,321.396,38.6823,73,310.159,0,5,3.43472,"178.47200000000001",5,0.540653,16.213
3,"Trial__9","B","Right","Left",1296.59,4.30254,32,118.048,2.76778,23,59.6574,0.666936,21,2.76779,0,257.07,44.6847,41,268.642,0,18,20.0081,"2.0674999999999999",3,0.286339,8.58667
4,"Trial_10","B","Left","Right",1333.98,3.70917,20,267.707,0.133386,8,18.4741,0.90036,6,2.56769,0,250.567,109.177,23,341.837,0,2,12.8718,"1.8340700000000001",1,1.5136,45.3896
5,"Trial_11","B","Right","Left",1983.92,5.50968,29,125.684,4.30174,26,142.257,1.83407,26,4.16835,0,317.895,42.1837,79,302.422,0,53,49.52,"1.8674200000000001",5,0.518655,15.5534
6,"Trial_12","B","Left","Right",1429.53,3.97521,23,52.8545,0.867014,21,65.1928,1.23383,24,2.93451,0,330.933,28.7782,22,339.87,0,16,18.4407,"1.2671699999999999",6,0.635131,19.0463
7,"Trial_13","B","Right","Left",1372.97,3.81541,31,254.171,1.83408,3,6.76944,277.114,12,6.40262,0,301.857,58.0905,21,356.78,0,0,0,"-",1,-0.186788,-5.60134
8,"Trial_14","B","Left","Right",2097.37,5.82529,37,114.413,0.266774,36,84.3674,2.93452,38,3.0679,0.033346,338.937,21.1085,65,303.489,0.033346,25,27.6778,"3.2679900000000002",10,0.220672,6.61746
9,"Trial_15","B","Right","Left",1614.03,4.48243,32,111.412,3.53476,25,75.4305,1.53395,18,6.16915,0,323.764,36.3147,26,340.471,0,11,9.80396,"8.2700099999999992",4,0.498076,14.9363
10,"Trial_16","B","Left","Right",2447.12,6.79606,41,59.424,2.90117,58,121.016,0.867016,55,5.63561,0,347.64,12.4384,63,315.027,0,44,37.2817,"1.0004",8,0.111971,3.35779
