"...1","Trials","Subject","sex","Strain","DOB","DOT","Week_of_enrichment","Novel_object_side","Novel_object_#","Treatment","Testing_Tank","Distance_moved","Velocity","In_zone...15","In_zone...16","In_zone...17","In_zone...18","In_zone...19","In_zone...20","In_zone...21","In_zone...22","In_zone...23","In_zone...24","In_zone...25","In_zone...26","Movement...27","Movement...28","Movement...29","Movement...30","Novel_Object_Zone...31","Novel_Object_Zone...32","Novel_Object_Zone...33","Novel_Object_Zone...34","Novel_Object_Zone...35","Novel_Object_Zone...36","Novel_Object_Zone...37","Novel_Object_Zone...38","Novel_Object_Zone...39","Novel_Object_Zone...40","Novel_Object_Zone...41","Novel_Object_Zone...42","Zone_transition...43","Zone_transition...44","Zone_transition...45","Zone_transition...46","Turn_angle","Angular_velocity"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"center-point","center-point","top_/_center-point","top_/_center-point","top_/_center-point","top_/_center-point","middle_/_center-point","middle_/_center-point","middle_/_center-point","middle_/_center-point","bottom_/_center-point","bottom_/_center-point","bottom_/_center-point","bottom_/_center-point","Moving_/_center-point","Moving_/_center-point","Not_Moving_/_center-point","Not_Moving_/_center-point","Object_1_/_nose-point","Object_1_/_nose-point","Object_1_/_nose-point","Object_2_/_nose-point","Object_2_/_nose-point","Object_2_/_nose-point","Object_1_/_center-point","Object_1_/_center-point","Object_1_/_center-point","Object_2_/_center-point","Object_2_/_center-point","Object_2_/_center-point","center-point_/_bottom_>_middle","center-point_/_bottom_>_middle","center-point_/_middle_>_top","center-point_/_middle_>_top","center-point_/_relative","center-point_/_relative"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total","Mean","Frequency","Cumulative_Duration","Latency_to_First","Cumulative_Duration","Frequency","Cumulative_Duration","Latency_to_First","Cumulative_Duration","Frequency","Cumulative_Duration","Latency_to_First","Cumulative_Duration","Cumulative_Duration","Cumulative_Duration","Cumulative_Duration","Cumulative_Duration","Frequency","Cumulative_Duration","Latency_to_First","Frequency","Cumulative_Duration","Latency_to_First","Frequency","Cumulative_Duration","Latency_to_First","Frequency","Cumulative_Duration","Latency_to_First","Latency_to_First","Latency_to_Last","Latency_to_First","Latency_to_Last","Mean","Mean"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cm","cm/s",NA,"s","s","%",NA,"s","s","%",NA,"s","s","%","s","%","s","%",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s","s","s","s","s","deg","deg/s"
"NT","Trial_1",31,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"2081.16","5.9679900000000004","55","78.599999999999994","0","21.833300000000001","93","103","0.4","28.6111","42","173.28","0.28000000000000003","48.133299999999998","325","90.277799999999999","34.880000000000003","9.6888900000000007","122","76.12","7.28","84","122.08","0.28000000000000003","68","77","7.36","55","125.24","0.28000000000000003","0.4","339.52","99.44","340.12","0.51540399999999997","12.8851"
"FO","Trial_2",31,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"2244.9699999999998","6.9624600000000001","43","101.2","17.920000000000002","28.1174","98","93.36","0","25.9391","82","146.72","0.2","40.764600000000002","306.76","85.230099999999993","29.76","8.2684999999999995","188","117.16","0","16","13.88","45.12","138","117.96","0","15","13.96","45.2","1","353.48","17.920000000000002","282.64","-2.2890600000000001","-57.226500000000001"
"NO_RI_1","Trial_3",31,"F","AB",2020-11-04,2021-07-13,0,2,3,"Control",1,"1938.13","5.7165299999999997","7","9.6","84.72","2.6666699999999999","56","88.96","0","24.711099999999998","63","248.8","7.2","69.111099999999993","313.12","86.977800000000002","40.32","11.2","62","69.52","0","114","127.64","9.64","44","69.64","0","73","132.44","9.84","132.16","327.60000000000002","142","142","-1.24515","-31.128699999999998"
"NO_RI_6","Trial_4",31,"F","AB",2020-11-04,2021-07-13,0,2,3,"Control",1,"1585.23","5.0614100000000004","19","12.96","9.08","3.6","83","98","0","27.222200000000001","97","226.76","1","62.988900000000001","285.12","79.2","55.52","15.4222","95","114.64","0","25","8.6","12.64","69","116.44","0","15","7.44","12.64","1.08","334.76","12.68","12.68","-0.44898500000000002","-11.224600000000001"
"NT","Trial_5",33,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"1385.3","3.9101699999999999","10","8.8800000000000008","0","2.4666700000000001","25","61.64","1.52","17.122199999999999","24","282.95999999999998","2.04","78.599999999999994","212.24","58.955599999999997","147.08000000000001","40.855600000000003","52","193.04","5.16","47","61.44","3.2","26","193.8","5.2","30","61.2","1.52","-","-","1.64","317.2","1.1771","29.427499999999998"
"FO","Trial_6",33,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",1,"1730.81","5.16784","29","50.96","46.32","14.1556","106","186.24","0.2","51.7333","76","103.8","0","28.833300000000001","294.92","81.922200000000004","54.76","15.2111","117","112.28","0","72","41.8","9.44","62","114.16","0","42","42.28","9.44","0.2","295.8","212.52","260.8","-0.72535300000000003","-18.133800000000001"
"NO_RI_1","Trial_7",33,"M","AB",2020-11-04,2021-07-13,0,2,3,"Control",1,"1946.66","5.7736999999999998","28","40.08","8.92","11.1333","102","233.32","0.12","64.811099999999996","74","69.040000000000006","0","19.177800000000001","295.76","82.155600000000007","57.04","15.8444","137","172.4","0.24","6","2.2400000000000002","183.96","77","175","0.24","4","2","184","6.76","231.16","8.92","142.12","1.2101200000000001","30.2529"
