"Test","Trial","Subject","Sex","Strain","DOB","DOT","Week_of_Enrichment","Novel_Object_Side","Novel_object_","Treatment_","Testing_Tank_","Distance_moved","Velocity","In_zone","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","Movement","...28","...29","...30","Novel_Object_Zone","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","Zone_transition","...44","...45","...46","Turn_angle","Angular_velocity"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"center-point","center-point","top_/_center-point","top_/_center-point","top_/_center-point","top_/_center-point","middle_/_center-point","middle_/_center-point","middle_/_center-point","middle_/_center-point","bottom_/_center-point","bottom_/_center-point","bottom_/_center-point","bottom_/_center-point","Moving_/_center-point","Moving_/_center-point","Not_Moving_/_center-point","Not_Moving_/_center-point","Object_1_/_nose-point","Object_1_/_nose-point","Object_1_/_nose-point","Object_2_/_nose-point","Object_2_/_nose-point","Object_2_/_nose-point","Object_1_/_center-point","Object_1_/_center-point","Object_1_/_center-point","Object_2_/_center-point","Object_2_/_center-point","Object_2_/_center-point","center-point_/_bottom_>_middle","center-point_/_bottom_>_middle","center-point_/_middle_>_top","center-point_/_middle_>_top","center-point_/_relative","center-point_/_relative"
NA,"#",NA,NA,NA,NA,NA,NA,"#","#",NA,"#","Total","Mean","Frequency","Cumulative_Duration","Latency_to_First","Cumulative_Duration","Frequency","Cumulative_Duration","Latency_to_First","Cumulative_Duration","Frequency","Cumulative_Duration","Latency_to_First","Cumulative_Duration","Cumulative_Duration","Cumulative_Duration","Cumulative_Duration","Cumulative_Duration","Frequency","Cumulative_Duration","Latency_to_First","Frequency","Cumulative_Duration","Latency_to_First","Frequency","Cumulative_Duration","Latency_to_First","Frequency","Cumulative_Duration","Latency_to_First","Latency_to_First","Latency_to_Last","Latency_to_First","Latency_to_Last","Mean","Mean"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cm","cm/s",NA,"s","s","%",NA,"s","s","%",NA,"s","s","%","s","%","s","%",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s","s","s","s","s","deg","deg/s"
"NT","Trial_1",31,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","2687.83","7.5163000000000002","26","30.68","127.08","8.5222200000000008","71","104.64","1.2","29.066700000000001","52","213.24","0.08","59.2333","338.36","93.988900000000001","21.44","5.9555600000000002","75","93.6","0.08","117","96.08","12.04","52","95.4","0.08","78","97.12","12.04","1.2","353.44","127.08","242.44","1.4503999999999999","36.259900000000002"
"FO","Trial_2",31,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","1851.13","5.9907000000000004","19","33.92","14.32","9.4232700000000005","93","162.96","0.08","45.271700000000003","97","133.28","0","37.026299999999999","278","77.230800000000002","52.76","14.6572","154","96.92","0.08","137","83.04","35.24","84","102.64","0.08","85","85.72","35.36","0.08","227.32","14.32","352.96","-1.37869","-34.467100000000002"
"NO_RI_1","Trial_3",31,"F","AB",2020-11-04,2021-07-19,1,"1","2","Control","1","2028.83","5.8467700000000002","42","49.2","80","13.666700000000001","90","110.36","46","30.6556","61","189.84","0","52.7333","287.2","79.777799999999999","67.599999999999994","18.777799999999999","95","108.92","0","120","54.88","44.28","54","114.72","0","86","54.76","44.44","66.760000000000005","354.64","106.64","302.16000000000003","2.4837099999999999","62.092700000000001"
"NO_RI_6","Trial_4",31,"F","AB",2020-11-04,2021-07-19,1,"1","3","Control","1","1892.19","5.5120800000000001","29","47.88","82.56","13.3","90","121.32","4.6399999999999997","33.700000000000003","70","180.84","0","50.2333","272.36","75.655600000000007","82.12","22.8111","11","10.119999999999999","0","297","172.96","9.8000000000000007","8","10","0","145","200.24","9.8000000000000007","4.6399999999999997","274.08","141.28","246.24","0.66217499999999996","16.554400000000001"
"NT","Trial_5",33,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","2197.65","6.2761300000000002","8","6.92","0.48","1.92994","29","47.32","0","13.1972","28","296.60000000000002","4.96","82.719800000000006","315.44","87.974100000000007","41.68","11.6243","69","142.88","4.96","74","97.04","0","53","144.91999999999999","5.12","55","98.28","0","222.24","222.24","0.48","223.64","-0.355319","-8.8829700000000003"
"FO","Trial_6",33,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","2201.0700000000002","6.3220099999999997","41","121.2","45.2","33.666699999999999","69","182.72","0","50.755600000000001","24","48.52","9.92","13.4778","327.04000000000002","90.844399999999993","30.68","8.5222200000000008","54","43.08","0","67","47.72","7.24","37","44.2","0","48","50.4","7.24","-","-","349.04","349.04","-1.8128500000000001","-45.321399999999997"
"NO_RI_1","Trial_7",33,"F","AB",2020-11-04,2021-07-19,1,"2","2","Control","1","1778.95","5.1943299999999999","33","57.6","116","16","114","175","0","48.6111","63","114.16","0.36","31.711099999999998","309.12","85.866699999999994","46.96","13.0444","114","91.32","0","84","72.92","21.04","76","96.08","0","48","77.319999999999993","25.8","8.68","322.95999999999998","143.91999999999999","305.72000000000003","-1.5931500000000001","-39.828600000000002"
"NO_RI_6","Trial_8",33,"F","AB",2020-11-04,2021-07-19,1,"1","3","Control","1","1874.69","5.5144500000000001","0","0","-","0","11","4.04","11.48","1.12222","30","348.88","0","96.911100000000005","184.52","51.255600000000001","169.64","47.122199999999999","108","63.6","0","116","199.8","10.8","70","65.88","0","87","200.44","10.8","-","-","-","-","0.658053","16.4513"
"NT","Trial_9",35,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","1","3232.2","9.1109299999999998","66","60.32","0.04","16.761099999999999","103","124.52","0","34.6004","39","169.52","0.68","47.104599999999998","338.76","94.131399999999999","20.84","5.7908200000000001","124","73.319999999999993","0.72","126","87.08","5.24","89","74.44","0.72","92","87.64","5.28","141","305","0.04","306","1.21631","30.407900000000001"
