"Test","Trial","Subject","Sex","Strain","DOB","Testing_Date","Week_of_Enrichment","Novel_Object...9","Novel_Object...10","Treatment","Testing_Tank","Distance_moved","Velocity","In_zone","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","Movement","...28","...29","...30","Novel_Object_Zone","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","Zone_transition","...44","...45","...46","Turn_angle","Angular_velocity"
NA,"#",NA,NA,NA,NA,NA,NA,"side","#",NA,"#","center-point","center-point","top_/_center-point","top_/_center-point","top_/_center-point","top_/_center-point","middle_/_center-point","middle_/_center-point","middle_/_center-point","middle_/_center-point","bottom_/_center-point","bottom_/_center-point","bottom_/_center-point","bottom_/_center-point","Moving_/_center-point","Moving_/_center-point","Not_Moving_/_center-point","Not_Moving_/_center-point","Object_1_/_nose-point","Object_1_/_nose-point","Object_1_/_nose-point","Object_2_/_nose-point","Object_2_/_nose-point","Object_2_/_nose-point","Object_1_/_center-point","Object_1_/_center-point","Object_1_/_center-point","Object_2_/_center-point","Object_2_/_center-point","Object_2_/_center-point","center-point_/_bottom_>_middle","center-point_/_bottom_>_middle","center-point_/_middle_>_top","center-point_/_middle_>_top","center-point_/_relative","center-point_/_relative"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total","Mean","Frequency","Cumulative_Duration","Latency_to_First","Cumulative_Duration","Frequency","Cumulative_Duration","Latency_to_First","Cumulative_Duration","Frequency","Cumulative_Duration","Latency_to_First","Cumulative_Duration","Cumulative_Duration","Cumulative_Duration","Cumulative_Duration","Cumulative_Duration","Frequency","Cumulative_Duration","Latency_to_First","Frequency","Cumulative_Duration","Latency_to_First","Frequency","Cumulative_Duration","Latency_to_First","Frequency","Cumulative_Duration","Latency_to_First","Latency_to_First","Latency_to_Last","Latency_to_First","Latency_to_Last","Mean","Mean"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cm","cm/s",NA,"s","s","%",NA,"s","s","%",NA,"s","s","%","s","%","s","%",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s","s","s","s","s","deg","deg/s"
"NT","Trial_1",31,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","2235.6","6.2544899999999997","25","33.56","89.04","9.3222199999999997","54","67.36","0.56000000000000005","18.711099999999998","33","254.52","0","70.7","329.44","91.511099999999999","30.44","8.4555600000000002","95","83.4","2.2400000000000002","103","121.68","0","71","85.8","2.3199999999999998","63","126.32","0","0.56000000000000005","263.2","95.88","354.24","2.1019800000000002E-2","0.52549500000000005"
"FO","Trial_2",31,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","1262.9000000000001","3.71048","23","23.52","62.08","6.5347900000000001","57","80.52","0.48","22.371600000000001","57","247.8","0","68.848600000000005","231.08","64.203199999999995","121.88","33.863100000000003","78","71.84","4.88","74","75","0.76","49","73.16","4.96","48","79.319999999999993","0.84","0.48","251.2","113.56","251.92","-0.30905100000000002","-7.7262700000000004"
"NO_RI_1","Trial_3",31,"F","AB",2020-11-04,2021-07-26,2,"1","2","control","1","1493.9","4.4156500000000003","25","31.12","57.52","8.6444399999999995","67","79.44","0","22.066700000000001","67","238.56","2.64","66.2667","290.88","80.8","59.24","16.4556","74","61.68","0","171","150.12","5.8","47","63.24","0","100","166.6","5.88","2.88","356.52","107.84","357.08","0.219109","5.4777300000000002"
"NO_RI_6","Trial_4",31,"F","AB",2020-11-04,2021-07-26,2,"1","3","control","1","1397.95","4.07043","9","12.56","114.24","3.48889","53","196.24","1.84","54.511099999999999","48","136.32","0","37.866700000000002","292.08","81.133300000000006","61.36","17.0444","6","5.96","0","106","108.12","9.64","6","5.96","0","71","113.32","9.64","1.84","357.88","331.2","358.56","0.40251300000000001","10.062799999999999"
"NT","Trial_5",33,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","3712.9","10.3886","28","14.8","150.68","4.11111","135","120.16","77.2","33.377800000000001","101","211.96","0","58.877800000000001","341.92","94.977800000000002","18.04","5.0111100000000004","193","104.64","1.1200000000000001","141","88.24","0.36","141","108.24","1.1599999999999999","101","90.2","0.4","99.16","357.56","275.76","358.84","1.66543","41.6357"
"FO","Trial_6",33,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","3234.81","9.6297099999999993","107","58.84","0.08","16.5504","243","216.64","0.76","60.936100000000003","135","67.680000000000007","0","19.036899999999999","336.4","94.622","14.12","3.9716499999999999","224","73","0.76","94","52.2","0","166","70.400000000000006","0.76","68","52.28","0","0.76","347.4","5","339.76","-1.9761599999999999","-49.4041"
"NO_RI_1","Trial_7",33,"M","AB",2020-11-04,2021-07-26,2,"1","3","control","1","2885.55","8.3726500000000001","79","61.36","6.88","17.0444","138","237.08","7.96","65.855599999999995","46","50.44","0","14.011100000000001","334.92","93.033299999999997","19.079999999999998","5.3","63","28.28","0.04","184","84.68","28.88","45","25.76","0.04","115","90.36","28.96","183.76","359.8","8.8800000000000008","293.56","-0.32934799999999997","-8.2337000000000007"
"NO_RI_6","Trial_8",33,"M","AB",2020-11-04,2021-07-26,2,"2","2","control","1","3393.76","9.73874","132","108.44","0","30.138999999999999","179","196.64","0.2","54.6526","47","48.08","1.76","13.363","339.32","94.307900000000004","15.76","4.3802099999999999","130","45.48","4","94","56.84","1.76","96","43.2","4","77","57.88","1.76","4","349.76","0.4","343.88","1.24004","31.001000000000001"
"NT","Trial_9",35,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","2399","6.9055799999999996","5","2.96","0","0.82222200000000001","42","75.2","0.56000000000000005","20.8889","31","274.95999999999998","2.08","76.377799999999993","320.68","89.077799999999996","38.36","10.6556","146","124.32","1.96","70","107.96","5.16","90","125.96","1.96","53","108.6","5.24","180.2","275.04000000000002","0.6","0.6","9.1906199999999993E-2","2.29766"
"FO","Trial_10",35,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","1566.12","5.34511","1","1.68","189.08","0.466667","145","93.52","0","25.977799999999998","146","235.6","0.76","65.444400000000002","253.88","70.522199999999998","70.64","19.622199999999999","201","160.19999999999999","0","83","63.52","31.12","132","160.84","0","44","67.28","31.12","2","289.12","-","-","0.54042699999999999","13.5107"
"NO_RI_1","Trial_11",35,"F","AB",2020-11-04,2021-07-26,2,"1","3","control","1","1854.23","5.4090800000000003","62","75.44","38.96","20.9556","122","212.68","2.76","59.077800000000003","56","58.2","0","16.166699999999999","312.60000000000002","86.833299999999994","42.36","11.7667","155","98.68","0","22","11.56","10.199999999999999","97","102.36","0","14","11.12","10.119999999999999","2.76","356.04","94.16","357.6","-1.18773","-29.693200000000001"
"NO_RI_6","Trial_12",35,"F","AB",2020-11-04,2021-07-26,2,"2","2","control","1","1837.09","5.5407599999999997","89","79.959999999999994","6.16","22.2136","160","179.88","0","49.972200000000001","74","91.44","7.8","25.402799999999999","311.24","86.465199999999996","43","11.9458","7","7.12","0","218","203.16","7.48","6","6.92","0","151","203.52","7.48","13.6","351.56","6.16","357.6","2.41208","60.302"
"NT","Trial_13",37,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","2622.5","7.5961600000000002","97","95.32","29.08","26.477799999999998","135","208.88","0.08","58.022199999999998","36","49.48","0.12","13.744400000000001","334.88","93.022199999999998","23.96","6.6555600000000004","113","59.92","0.12","88","65.44","2","77","57.2","0.08","60","64.88","2","106.52","274.68","29.08","359.8","1.3258300000000001","33.145800000000001"
"FO","Trial_14",37,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","1","2418.52","7.06921","74","273.64","7.2","76.011099999999999","79","83.64","0","23.2333","2","0.4","0.4","0.111111","318.68","88.522199999999998","36.32","10.088900000000001","19","9.9600000000000009","0","22","6.92","60.6","16","9.24","0","12","5","167.72","4.32","6.48","9.1199999999999992","290.08","1.07714","26.928599999999999"
"NO_RI_1","Trial_15",37,"M","AB",2020-11-04,2021-07-26,2,"1","3","control","1","2232.66","6.4759900000000004","103","272.04000000000002","0","75.566699999999997","95","79.92","10.24","22.2","3","5.72","0.12","1.5888899999999999","315.95999999999998","87.7667","40.880000000000003","11.355600000000001","15","9.9600000000000009","0.12","2","0.76","17.52","14","9.56","0.12","2","0.8","17.559999999999999","-","-","52.92","358.8","2.4627300000000001","61.568199999999997"
